Province/State,Country/Region,Confirmed,ISO,Continent
Pennsylvania,United States of America,60459.0,USA,North America
Prince Edward Island,Canada,27.0,CAN,North America
Puerto Rico,United States of America,2256.0,USA,North America
Qinghai,China,18.0,CHN,Asia
Quebec,Canada,38480.0,CAN,North America
Queensland,Australia,1051.0,AUS,Australia
Recovered,Canada,0.0,CAN,North America
Recovered,United States of America,0.0,USA,North America
Reunion,France,436.0,FRA,Europe
Rhode Island,United States of America,11450.0,USA,North America
Saint Barthelemy,France,6.0,FRA,Europe
Saint Pierre and Miquelon,France,1.0,FRA,Europe
Saskatchewan,Canada,568.0,CAN,North America
Shaanxi,China,308.0,CHN,Asia
Shandong,China,788.0,CHN,Asia
Shanghai,China,659.0,CHN,Asia
Shanxi,China,198.0,CHN,Asia
Sichuan,China,561.0,CHN,Asia
Sint Maarten,Netherlands,76.0,NLD,Europe
South Australia,Australia,439.0,AUS,Australia
South Carolina,United States of America,7792.0,USA,North America
South Dakota,United States of America,3614.0,USA,North America
St Martin,France,39.0,FRA,Europe
Tasmania,Australia,227.0,AUS,Australia
Tennessee,United States of America,15544.0,USA,North America
Texas,United States of America,40555.0,USA,North America
Tianjin,China,191.0,CHN,Asia
Tibet,China,1.0,CHN,Asia
Turks and Caicos Islands,United Kingdom,12.0,GBR,Europe
Utah,United States of America,6362.0,USA,North America
Vermont,United States of America,926.0,USA,North America
Victoria,Australia,1511.0,AUS,Australia
Virgin Islands,United States of America,69.0,USA,North America
Virginia,United States of America,25070.0,USA,North America
Washington,United States of America,17122.0,USA,North America
West Virginia,United States of America,1366.0,USA,North America
Western Australia,Australia,553.0,AUS,Australia
Wisconsin,United States of America,10418.0,USA,North America
Wyoming,United States of America,669.0,USA,North America
Xinjiang,China,76.0,CHN,Asia
Yukon,Canada,11.0,CAN,North America
Yunnan,China,185.0,CHN,Asia
Zhejiang,China,1268.0,CHN,Asia
